entry_id,scenario_id,agent_type,provider,model_family,prompt_mode,risk_feedback_mode,parse_coverage,model_redacted,data_source,frequency,symbols,total_return,max_drawdown,fill_rate,rejected_orders,risk_edits,audit_coverage,reproducibility_hash,reproducibility_status,redaction_status,source_file
ta-ab28baf636c6,leaderboard_llm_high_vol_synthetic_v0_1,llm_policy,deepseek,deepseek-v4-pro,rationale,true,1.0,False,synthetic-market,daily,2,0.004339085092315731,-0.006497134021152151,0.75,1,9,1.0,sha256:ab28baf636c641d3c61ab0e6a8831890af097909ec16e9f868353d35d23573f0,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__deepseek_deepseek_v4_pro.json
ta-a26229c4bfd1,leaderboard_llm_high_vol_synthetic_v0_1,llm_policy,poe,claude-opus-4.7,rationale,true,1.0,False,synthetic-market,daily,2,0.004469174811702281,-0.00582775325630025,0.75,1,8,1.0,sha256:a26229c4bfd18ff61fa73f217fa8bc4435273565a2e29d097c55cf7c3b18beea,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__poe_claude_opus_4_7.json
ta-f17bd495aee1,leaderboard_llm_high_vol_synthetic_v0_1,llm_policy,poe,gemini-3.1-pro,rationale,true,1.0,False,synthetic-market,daily,2,0.014380820994550625,-0.004041424009702865,0.75,2,6,1.0,sha256:f17bd495aee155bd7ce6f0f18c41dff46ab0b1c6226edeb9fd5d3aa310ff8852,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__poe_gemini_3_1_pro.json
ta-a784bb18edb4,leaderboard_llm_high_vol_synthetic_v0_1,llm_policy,poe,glm-5,rationale,true,1.0,False,synthetic-market,daily,2,0.0030159018066973076,-0.005820035613082308,0.8461538461538461,0,8,1.0,sha256:a784bb18edb45988a313ad56d63435806291b3576bc0c9aa7470494e5023a7ba,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__poe_glm_5.json
ta-ca1ac51567e2,leaderboard_llm_high_vol_synthetic_v0_1,llm_policy,poe,gpt-5.5,rationale,true,1.0,False,synthetic-market,daily,2,0.003797331808502946,-0.006492709120251905,0.75,1,8,1.0,sha256:ca1ac51567e2e1619eb33d2fb8047eb42fa3bb381ce289036fb0ec75ec955108,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__poe_gpt_5_5.json
ta-d049a9252a5d,leaderboard_llm_high_vol_synthetic_v0_1,llm_policy,poe,kimi-k2.5,rationale,true,1.0,False,synthetic-market,daily,2,0.003685198028611003,-0.005156635468709814,0.8461538461538461,0,8,1.0,sha256:d049a9252a5db2844a435a2503755cb0c4a8ad9b1302e232143b5e40b8086d1e,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__poe_kimi_k2_5.json
ta-92c579427c5c,leaderboard_llm_jump_tail_synthetic_v0_1,llm_policy,deepseek,deepseek-v4-flash,rationale,true,1.0,False,synthetic-market,daily,2,0.016686905489183834,-0.021397961890934902,0.6666666666666666,3,12,1.0,sha256:92c579427c5c8d989df37d5821153bbf86572c3969718d582b6a0425a2a4b061,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__deepseek_deepseek_v4_flash.json
ta-e1635368569c,leaderboard_llm_jump_tail_synthetic_v0_1,llm_policy,deepseek,deepseek-v4-pro,rationale,true,1.0,False,synthetic-market,daily,2,0.016686905489183834,-0.021397961890934902,0.7692307692307693,2,9,1.0,sha256:e1635368569cfca7d67fc84242a09128a29c810ccc4635173e70eeefc36212ad,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__deepseek_deepseek_v4_pro.json
ta-23a56b641e23,leaderboard_llm_jump_tail_synthetic_v0_1,llm_policy,poe,claude-opus-4.7,rationale,true,1.0,False,synthetic-market,daily,2,0.016686905489183834,-0.021397961890934902,0.6666666666666666,3,10,1.0,sha256:23a56b641e2392d16e6afca28fde70db94f534eeacdec104d77c3c1301bd41a5,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__poe_claude_opus_4_7.json
ta-1429af5bf985,leaderboard_llm_jump_tail_synthetic_v0_1,llm_policy,poe,gemini-3.1-pro,rationale,true,1.0,False,synthetic-market,daily,2,0.015666191920414185,-0.007501423714052713,0.6428571428571429,3,9,1.0,sha256:1429af5bf985803e5779760fada1f1a0b761d921e4c4a3abdbb7e6dbedbfec4d,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__poe_gemini_3_1_pro.json
ta-004d1b457862,leaderboard_llm_jump_tail_synthetic_v0_1,llm_policy,poe,glm-5,rationale,true,1.0,False,synthetic-market,daily,2,0.016686905489183834,-0.021397961890934902,0.7142857142857143,3,11,1.0,sha256:004d1b457862184749807308e21e6f0e7c00528308a8bf094ba6fd1f034b0573,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__poe_glm_5.json
ta-2982046ca04d,leaderboard_llm_jump_tail_synthetic_v0_1,llm_policy,poe,gpt-5.5,rationale,true,1.0,False,synthetic-market,daily,2,0.016686905489183834,-0.021397961890934902,0.6666666666666666,3,12,1.0,sha256:2982046ca04d777c9b757d8f6d4b2084a034444203a4c02e8a0ddcdbe8b4f4ae,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__poe_gpt_5_5.json
ta-f7385c431cb1,leaderboard_llm_jump_tail_synthetic_v0_1,llm_policy,poe,kimi-k2.5,rationale,true,1.0,False,synthetic-market,daily,2,0.016686905489183834,-0.021397961890934902,0.6666666666666666,3,11,1.0,sha256:f7385c431cb1184f1ff77eefaa9503abe3e981a392aed371c851669a804a6b80,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__poe_kimi_k2_5.json
ta-51330c659d2a,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,llm_policy,deepseek,deepseek-v4-flash,rationale,true,1.0,False,yahoo-finance-csv,weekly,3,-0.16005308929434525,-0.20577384534423304,0.7272727272727273,4,19,1.0,sha256:51330c659d2a1cd0159f0e58a5d4bf3128c79bcca532a0c82518e71d4184e525,Reproducible,Redacted,examples/benchmark_submissions/real_market_matrix/rates_drawdown__deepseek_deepseek_v4_flash.json
ta-9c6196969768,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,llm_policy,deepseek,deepseek-v4-pro,rationale,true,1.0,False,yahoo-finance-csv,weekly,3,-0.1385129783678416,-0.18540622537448614,0.72,5,23,1.0,sha256:9c6196969768183e9885b74a1870123fec010cd3079ce57f29210f6469307d21,Reproducible,Redacted,examples/benchmark_submissions/real_market_matrix/rates_drawdown__deepseek_deepseek_v4_pro.json
ta-a2b360292d21,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,llm_policy,poe,claude-opus-4.7,rationale,true,1.0,False,yahoo-finance-csv,weekly,3,-0.13849449867400387,-0.185388751584192,0.72,5,22,1.0,sha256:a2b360292d213c7656869c422486c9645fff22b8663a55ef3aa7821622354daa,Reproducible,Redacted,examples/benchmark_submissions/real_market_matrix/rates_drawdown__poe_claude_opus_4_7.json
ta-32675b33dd34,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,llm_policy,poe,gemini-3.1-pro,rationale,true,1.0,False,yahoo-finance-csv,weekly,3,-0.13847257847278582,-0.185368024563352,0.68,6,21,1.0,sha256:32675b33dd34ce4c0138e873bbe39dee929bbe61d3ec55390ca093526693be8e,Reproducible,Redacted,examples/benchmark_submissions/real_market_matrix/rates_drawdown__poe_gemini_3_1_pro.json
ta-74f09655a483,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,llm_policy,poe,glm-5,rationale,true,1.0,False,yahoo-finance-csv,weekly,3,-0.1385129783678416,-0.18540622537448614,0.72,5,23,1.0,sha256:74f09655a483a9bc3b00e0e79021959684d9aaddc29c95a3673e4f836d3e0ca6,Reproducible,Redacted,examples/benchmark_submissions/real_market_matrix/rates_drawdown__poe_glm_5.json
ta-40f60268d28c,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,llm_policy,poe,gpt-5.5,rationale,true,1.0,False,yahoo-finance-csv,weekly,3,-0.13849449867400387,-0.185388751584192,0.72,5,22,1.0,sha256:40f60268d28ca78c101b05d2be2ae67f8687f498375d245bb53bf81d0aa780ae,Reproducible,Redacted,examples/benchmark_submissions/real_market_matrix/rates_drawdown__poe_gpt_5_5.json
ta-497057ffd185,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,llm_policy,poe,kimi-k2.5,rationale,true,1.0,False,yahoo-finance-csv,weekly,3,-0.12578731020932532,-0.1755132621389076,0.68,7,18,1.0,sha256:497057ffd1857eda0a232f50af72b746032f3c9a40c6736f62259d8a63b1bdcf,Reproducible,Redacted,examples/benchmark_submissions/real_market_matrix/rates_drawdown__poe_kimi_k2_5.json
ta-d523b8e4b389,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,llm_policy,deepseek,deepseek-v4-flash,rationale,true,1.0,False,yahoo-finance-csv,weekly,3,0.005538251031219188,-0.056618626037848285,0.8275862068965517,4,37,1.0,sha256:d523b8e4b38999090a0cf018739e838a8c289748e986fdfb47bcc39572981bd1,Reproducible,Redacted,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__deepseek_deepseek_v4_flash.json
ta-f08d40e4f994,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,llm_policy,deepseek,deepseek-v4-pro,rationale,true,1.0,False,yahoo-finance-csv,weekly,3,-0.005499841905285963,-0.050869846033576915,0.7692307692307693,5,25,1.0,sha256:f08d40e4f994283ce9ee23a111d3347cc85c3c61d51b9104bff1865c9faa5402,Reproducible,Redacted,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__deepseek_deepseek_v4_pro.json
ta-65d1c40c584a,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,llm_policy,poe,claude-opus-4.7,rationale,true,1.0,False,yahoo-finance-csv,weekly,3,0.04390939585215947,-0.054031432443877536,0.8125,3,40,1.0,sha256:65d1c40c584ac1ae6d3cea4456a4132ee46df8b73d321dd4b65c0e45ceaec38d,Reproducible,Redacted,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_claude_opus_4_7.json
ta-1c64cbed98fe,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,llm_policy,poe,gemini-3.1-pro,rationale,true,1.0,False,yahoo-finance-csv,weekly,3,0.04864212103857812,-0.04226851863858172,0.7307692307692307,6,24,1.0,sha256:1c64cbed98fef718591cdda009f8c3dddbeb43d10c0c6bf5d4551cd2d7816ab4,Reproducible,Redacted,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro.json
ta-9ba5b135d7c8,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,llm_policy,poe,glm-5,rationale,true,1.0,False,yahoo-finance-csv,weekly,3,0.006603659956621932,-0.056618626037848285,0.8214285714285714,4,33,1.0,sha256:9ba5b135d7c86a44fb9ed9a24cb162fd9a56317185dcd24b69c091bbd68c36e3,Reproducible,Redacted,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_glm_5.json
ta-63999bde59e3,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,llm_policy,poe,gpt-5.5,rationale,true,1.0,False,yahoo-finance-csv,weekly,3,0.009544787382853137,-0.056618626037848285,0.8333333333333334,3,37,1.0,sha256:63999bde59e3d19ade14e5e27a13220e187fd59e63d48f826c4fa36f24d36802,Reproducible,Redacted,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gpt_5_5.json
ta-28ae5bae3001,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,llm_policy,poe,kimi-k2.5,rationale,true,1.0,False,yahoo-finance-csv,weekly,3,0.005538251031219188,-0.056618626037848285,0.8275862068965517,4,37,1.0,sha256:28ae5bae300146ecf228094d2a310d76c05f84664f663bf472a51862fe46a987,Reproducible,Redacted,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_kimi_k2_5.json
